STT,Ticker,Pool_ID,Candidate_Pool,Exchange,Overall_Rank,Total_Invested_VND,Avg_DCA_Price_VND,Final_Price_VND,Total_Shares_Accumulated,Final_Value_VND,Net_Profit_VND,ROI_Pct,Status
1,VIC,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,1,56000000,87223.45,211300.0,642.03,135660765.0,79660765.0,142.25,LÃI
2,VHM,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,2,56000000,49958.26,78000.0,1120.94,87432996.0,31432996.0,56.13,LÃI
3,LPB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,4,56000000,41770.34,52000.0,1340.66,69714538.0,13714538.0,24.49,LÃI
4,GAS,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,5,56000000,71550.33,87400.0,782.67,68404998.0,12404998.0,22.15,LÃI
5,VJC,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,6,56000000,108465.25,132230.77,516.29,68270003.0,12270003.0,21.91,LÃI
6,GVR,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,9,56000000,30621.14,34900.0,1828.8,63825181.0,7825181.0,13.97,LÃI
7,BVH,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,10,56000000,59544.34,67700.0,940.48,63670195.0,7670195.0,13.7,LÃI
8,HDB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,12,56000000,23259.96,25900.0,2407.57,62356081.0,6356081.0,11.35,LÃI
9,POW,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,14,56000000,12565.71,13700.0,4456.57,61055042.0,5055042.0,9.03,LÃI
10,VRE,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,15,56000000,29725.98,32250.0,1883.87,60754933.0,4754933.0,8.49,LÃI
11,PLX,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,18,56000000,38783.5,41000.0,1443.91,59200433.0,3200433.0,5.72,LÃI
12,VPB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,21,56000000,25809.46,27100.0,2169.75,58800148.0,2800148.0,5.0,LÃI
13,BID,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,23,56000000,37671.95,39309.91,1486.52,58434853.0,2434853.0,4.35,LÃI
14,ACB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,24,56000000,21170.84,22035.4,2645.15,58286877.0,2286877.0,4.08,LÃI
15,MBB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,25,56000000,20927.09,21739.13,2675.96,58172980.0,2172980.0,3.88,LÃI
16,CTG,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,26,56000000,33641.76,34800.0,1664.6,57927996.0,1927996.0,3.44,LÃI
17,VCB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,28,56000000,61056.39,62000.0,917.18,56865463.0,865463.0,1.55,LÃI
18,HPG,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,30,56000000,23771.54,24000.0,2355.76,56538193.0,538193.0,0.96,LÃI
19,SAB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,33,56000000,47478.89,46950.0,1179.47,55376194.0,-623806.0,-1.11,LỖ
20,MWG,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,35,56000000,77279.31,76300.0,724.64,55290349.0,-709651.0,-1.27,LỖ
21,TPB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,36,56000000,16139.71,15900.0,3469.7,55168276.0,-831724.0,-1.49,LỖ
22,MSN,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,39,56000000,76020.8,74700.0,736.64,55027047.0,-972953.0,-1.74,LỖ
23,VNM,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,44,56000000,61102.61,59200.0,916.49,54256275.0,-1743725.0,-3.11,LỖ
24,TCB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,47,56000000,34316.77,32750.0,1631.86,53443264.0,-2556736.0,-4.57,LỖ
25,SSI,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,48,56000000,24107.95,22916.67,2322.88,53232775.0,-2767225.0,-4.94,LỖ
26,SSB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,53,56000000,14972.2,14000.0,3740.26,52363706.0,-3636294.0,-6.49,LỖ
27,SHB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,55,56000000,14967.4,13800.0,3741.46,51632199.0,-4367801.0,-7.8,LỖ
28,VIB,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,61,56000000,16176.27,14703.2,3461.86,50900428.0,-5099572.0,-9.11,LỖ
29,BCM,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,71,56000000,62709.36,55100.0,893.01,49204779.0,-6795221.0,-12.13,LỖ
30,FPT,VN30,VN30 Index (Nhóm Trụ Cột),HOSE,94,56000000,92897.55,71600.0,602.81,43161527.0,-12838473.0,-22.93,LỖ
31,MSB,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,3,56000000,10048.93,12750.0,5572.73,71052346.0,15052346.0,26.88,LÃI
32,HCM,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,13,56000000,24698.44,27450.0,2267.35,62238757.0,6238757.0,11.14,LÃI
33,ORS,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,22,56000000,12410.09,13000.0,4512.46,58661921.0,2661921.0,4.75,LÃI
34,VIX,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,32,56000000,17014.55,16857.14,3291.3,55481917.0,-518083.0,-0.93,LỖ
35,NAB,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,37,56000000,11888.66,11700.0,4710.37,55111322.0,-888678.0,-1.59,LỖ
36,OCB,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,40,56000000,10222.42,10043.48,5478.15,55019711.0,-980289.0,-1.75,LỖ
37,EIB,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,56,56000000,23194.69,21300.0,2414.35,51425559.0,-4574441.0,-8.17,LỖ
38,AGR,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,62,56000000,15898.79,14450.0,3522.28,50896971.0,-5103029.0,-9.11,LỖ
39,VND,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,66,56000000,18625.53,16850.0,3006.63,50661637.0,-5338363.0,-9.53,LỖ
40,VCI,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,69,56000000,27820.14,24650.0,2012.93,49618736.0,-6381264.0,-11.4,LỖ
41,CTS,BANK_FIN,Ngân Hàng & Tài Chính,HOSE,76,56000000,24586.14,21328.12,2277.71,48579203.0,-7420797.0,-13.25,LỖ
